id,socre,doc,result,Precision,,AP
1,0.63001138,"Adapt or Die. Facebook needs a new business model, since the one it helped invent is now known as cyber-stalking. It&#39;s great that they helped the world realize this is a boundary, but they have yet to adapt to said realization. They intentionally do not allow you to update the photos they have access to from the app. If you cannot select which photos you want to share with them, you may be more inclined to share all of your photos out of convenience. Given their business is based on nonconsensual data harvesting, it&#39;s not a surprise to me.",1,1,1,1
2,0.620232344,"The People make this app Entertaining. Other than that, they steal your data. From who you are, where you live, your address, your phone number, your location. Your contacts, your email address. In some cases your credit card information. They track what you do. What you view on online stores. You can personalize the ads yes. Facebook also controls the ads you see on YouTube, Google, Amazon, Etc. I always deactivate my profile until I log back in for it to reactivate. Thats your best bet. If you dont use Facebook. Just do that, dont just delete the app. Youll be surprised how easy it is to find out information about someone. If they have a Facebook account. Even if you havent used your profile in 10+ years. It is still there..just deactivate it.",1,1,1,1
3,0.605604529,"Customer support. I enjoy Facebook. But the customer support is crap. Then ensuring your safety and privacy is a lie. I had my Facebook hacked and so have a bunch of other people. There is no way to directly contact someone and even though several people have reported my Facebook as hacked they still have not done anything about it. The guy who hacked my Facebook is conversating, laughing, and messing with my friends and family including my kid. Thinking this who thing is a joke. I have personal information on my Facebook and they are not protecting my privacy. I am scared for my safety and the information he most liky accessed including my home address. They need to figure out a better system and take care of issues like this immediately. They want to kick people off for petty issues but will not help resolve important issues. Facebook is a good way for keeping in touch with family and friends but they do not ensure your safety or privacy like they say they do.",1,1,1,1
4,0.605412006,Facebook selling our information. Its really bad.,1,1,1,1
5,0.596261144,"Invasive, Avoid at all costs. Bias party and concerning privacy breaches. UPDATE: So I had this one individual contact me condescendingly about how much he doesnt like the price at which Im selling something at marketplace and then reports me, facebook without gathering any data terminates my account. Facebook has grown to be a disease to our nation and individuality. Privacy is not respected whatsoever, the most invasive site on the web next to google.Avoid facebook. Its only value was the marketplace and the ability to save game data. The measures they take to collect your information is concerning.",1,1,1,1
6,0.593673944,"Facebook cares ;). If youre looking for a single location where companies cane mine data about who you are and what you do, and of course how you think, this is the app for you. Not only can you train an ai to recognize yours and your acquaintances faces, as well as attribute that data to your views and reluctant needs, but you can create a web of data to pigeon hole yourself into the projected personas you created, and any possible way that corporations can market yo your deepest insecurities. What do you have to lose?",1,1,1,1
7,0.592628241,"Standards. Facebook is trash, dont let them harvest your personal information like that.",1,1,1,1
8,0.592131555,"Your personal information is opened for sell. Beware, you are like a sell cow in catalog, and facebook selling all information and doesn't care you anymore",1,1,1,1
9,0.587479234,No privacy. The problem with Facebook and all social media that your information is everywhere. They sell your information. And they also give the government your information.. its not about gather with friends. Your data is sold The same thing goes for Google . Listen to your Conversations and report back to there makers. A database is made. They can use this to incriminate you . Even if you havent done anything wrong. Youre signing your life away and you dont even know it. They are contracts you cant even read them. It would take you weeks to read . Even if you delete your account it doesnt guarantee the use doesnt guarantee you complete 100% delete of your data its sold . Dont be fooled. believing youre safe. Your address and phone number out there. Why do you think so many people your phone number. Think about before you sign,1,1,1,1
10,0.584421873,They just care about selling your personal info. All they care about is how much of your personal information they can gather and sell. Facebook has went way downhill since it first started I only used it mainly for selling on marketplace and business networking but now i wont even be using it for that after they removed my latest marketplace item for no reason when i have been buying and selling on marketplace for years and have a 5 star rating Facebook is worthless,1,1,1,1
