id,socre,doc,result,Precision,,AP
1,0.601041436,"Facebook cares ;). If youre looking for a single location where companies cane mine data about who you are and what you do, and of course how you think, this is the app for you. Not only can you train an ai to recognize yours and your acquaintances faces, as well as attribute that data to your views and reluctant needs, but you can create a web of data to pigeon hole yourself into the projected personas you created, and any possible way that corporations can market yo your deepest insecurities. What do you have to lose?",1,1,1,1
2,0.600534201,"CUT OUT THE DRAMA. Remove the following online activities and behaviors immediately. 1. Harassment, discrimination, retaliation.  2. False reports, attention-seeking.3. Scams and cons.4. Require identity verification and background checks for those new users or current users who knowingly abuse their privileges to use Facebook and its affiliated platforms to abuse other users, groups, businesses, or government offices; and vice versa. 5. Implement a zero tolerance policy for any and all violations of these mandatory new requests to Facebooks policies and procedures. 6. Permanently stop tracking all current and new users whether they opt-in or out of Facebook tracking. 7. Implement secure biometric login utilizing all the current mobile and computer manufacturers individual device biometric settings. 8. Improve the overall security and privacy of Facebook and its affiliated platforms to enhance the experience for all users regardless of age, cyber-knowledge, or frequency of social media platform usage.",1,1,1,1
3,0.580838084,"Facebook App uses up Way Too much memory. Facebook platform/app is thumbs up as far as a social app , but I completely DISAGREE WITH FACT CHECKING It definitely VIOLATES MY FREEDOM OF SPEECH AND MY PRIVACYJoining Facebook Im offered choice if I want my account to be PUBLIC or PRIVATE AND FACEBOOK OFFERS CHOICES/OPTIONS FOR THE POSTS THE USER MAKES EITHER PUBLIC OR PRIVATE Now LETS GO BACK TO THE INITIAL CHOICE OF MAKING YOUR FACEBOOK ACCOUNT PUBLIC OR PRIVATE:1. My ACCOUNT IS PRIVATE 2.MY FRIENDS LIST IS PRIVATE 3.ANYTHING I POST IS PRIVATE AND ONLY MY FRIENDS AND FAMILY CAN VIEW MY POSTS , COMMENTS, AND PICTURES UNLESS I CHOOSE TO MAKE ANY OF IT PUBLIC.So if my account is not viewable in any way besides a profile picture, WHY ARE STRANGERS CALLED FACT CHECKERS ACCESSING MY PRIVATE PERSONAL INFORMATION AND DECIDING WHATS ACCEPTABLE AND WHATS NOT? IT COMPLETELY WRONG AND VIOLATES MY CONSTITUTIONAL RIGHTS TO FREEDOM OR SPEECH AND MY PRIVACY and along with a whole list of many other issues I will not post.. ( LETS NOT MENTION SCAMMERS AND CYBER CRIMINALS SPOOFING AND SCAMMING PEOPLE AND MAKING FACEBOOK ACCOUNT WITH YOUR NAME AND PICTUREIt was great in the beginning but now , personally feel violated in many ways.. what a shame..RUMBLE RUMBLE RUMBLE",1,1,1,1
4,0.576237559,"Disappointing. Im giving fb two stars because for awhile I have noticed people I am not associated with have pictures of my daughter on their Facebook. My daughter is only 4 years old. For what ever reason I cannot find where to make my profile completely private. The only things I can see that are private are my about me info and what ever I post/share. My featured photos cant be made private and it really irritates me that fb changed the privacy settings making it impossible for our profiles to be 100% private and inaccessible from people we dont know and arent friends with. Fb used to have better privacy settings that way when you set your profile to private absolutely no one youre not friends with can see your pictures or about me info. The more time passes and the more problems that pop up it makes me think the Facebook company as a whole does not care about its users right to complete privacy from random unknown people on the internet. I mean theres a setting to keep people from looking you up from a search engine hows that actually useful? Its useful in one aspect thats it. Id really like to be able to completely block out anyone I dont know without having to block everyone of those people, thats just time consuming.",1,1,1,1
5,0.572417319,"Write to your legislators. Privacy is important. Today Facebook has monopolized the social media applications in order to promote consumerism by selling our data. However, Facebook refuses to incorporate measures to protect people from human and child trafficking, drugs, cults, and racism. There needs to be laws on the books to hold those at Facebook accountable as they are the middle man. Finally, where are we going with this platform which reeks of entitlement? When you think about how corporations donate to political campaigns and what this platform has done to ruin presidential elections such as the one won by Trump- I say deactivate my account. I would rather talk to my real friends in person. Pick up a phone- reach out and touch someone. Personally, I would prefer it to a GIF or a like.",1,1,1,1
6,0.569841802,No privacy. The problem with Facebook and all social media that your information is everywhere. They sell your information. And they also give the government your information.. its not about gather with friends. Your data is sold The same thing goes for Google . Listen to your Conversations and report back to there makers. A database is made. They can use this to incriminate you . Even if you havent done anything wrong. Youre signing your life away and you dont even know it. They are contracts you cant even read them. It would take you weeks to read . Even if you delete your account it doesnt guarantee the use doesnt guarantee you complete 100% delete of your data its sold . Dont be fooled. believing youre safe. Your address and phone number out there. Why do you think so many people your phone number. Think about before you sign,1,1,1,1
7,0.56949538,"Completely Policed and Suffocates Freedom of Speech. The only benefit Facebook still has is connecting with friends and family I know closely. Other than that, they use their algorithms to tag normal factual things you post or say regarding current topics as false or requiring fact checking if they are contrary to Facebooks agenda. The few good things it provides are severely outweighed by all the toxic fear-mongering topics that are shared in accordance with Facebooks agenda. And good luck if you have facts or opinions that contradict this agenda youll be labeled as a false information spreader. Facebook is doing nothing but stressing people out and causing them to become more polarized and divided than ever. Shame on you, Facebook",0,0.857142857,0,0.857142857
8,0.569053352,"Bad for you. Bad for everybody. Just ask yourself: how does a company which trades in your personal, private business make so much money? Heck, just do a search and see. Social media has been bad for children, adults, entire continents. Its not hyperbolic, when you think of the number of folks using this service. And Facebook (Meta good luck with that rebranding PR), of all social media, has been the absolute worst. Users should have figured that out when Zuck laughed about people being stupid, handing over personal, private information. We left FB in 2009 (about the time they claimed copyright over every photo, video, thought, posted) and have looked on from the sidelines as the world just kinda forgot? how to be civil?  And now FB is just a great place to about into a loud echo chamber with only like-minded. Real growth there, folks. Super job shepherding humanity into the 21st century.  Do yourselves a favor: quit. Free is never free. And Facebook is just plain bad for people. It is. (Also, if our personal information is worth so much, why cant we see it? Why arent we allowed to review it? Lastly, why cant we sell it ourselves? Letting some third party in your home to steal your privacy is just stupid.)",1,0.875,0.875,0.859375
9,0.561169028,"The People make this app Entertaining. Other than that, they steal your data. From who you are, where you live, your address, your phone number, your location. Your contacts, your email address. In some cases your credit card information. They track what you do. What you view on online stores. You can personalize the ads yes. Facebook also controls the ads you see on YouTube, Google, Amazon, Etc. I always deactivate my profile until I log back in for it to reactivate. Thats your best bet. If you dont use Facebook. Just do that, dont just delete the app. Youll be surprised how easy it is to find out information about someone. If they have a Facebook account. Even if you havent used your profile in 10+ years. It is still there..just deactivate it.",1,0.888888889,0.888888889,0.862654321
10,0.542186916,"PRIVACY. What happened to yall protecting our PRIVACY?Why is there a need to know all our dang DATA?, including health and fitness, finances, contacts, browsing history, usage data, precise location, search history, purchases, diagnostics, identifiers, and other sensitive information. Do something about it, because we deserve to have a certain amount of privacy on these apps and FB is not providing it This is poor servicing",1,0.9,0.9,0.866388889
11,0.541481733,"Customer support. I enjoy Facebook. But the customer support is crap. Then ensuring your safety and privacy is a lie. I had my Facebook hacked and so have a bunch of other people. There is no way to directly contact someone and even though several people have reported my Facebook as hacked they still have not done anything about it. The guy who hacked my Facebook is conversating, laughing, and messing with my friends and family including my kid. Thinking this who thing is a joke. I have personal information on my Facebook and they are not protecting my privacy. I am scared for my safety and the information he most liky accessed including my home address. They need to figure out a better system and take care of issues like this immediately. They want to kick people off for petty issues but will not help resolve important issues. Facebook is a good way for keeping in touch with family and friends but they do not ensure your safety or privacy like they say they do.",1,0.909090909,0.909090909,0.870270891
12,0.539851904,Facebook is trash. Facebook lies Facebook sells your data Facebook manipulates people by show them false information that fits there agenda but when you actually give out real facts and real studys they ban you for false information or dangerous individuals all facebook does is brainwash the masses and take away our rights. Facebook thinks they are so powerful they can do whatever they want like take away your first amendment rights of freedom of speech because it doesnt fit the narrative Facebook doesnt let you participate in the second amendment you try to show anything related to the second amendment and your banned for violence. Facebook is a evil communist controlled ap used  to takeaway our rights alone with Instagram and Twitter none of them allow the truth to be told all of them want world control,1,0.916666667,0.916666667,0.874137205
