id,socre,doc,result,Precision,,AP
1,0.682524264,Privacy. Just look below to all of the data that Facebook uses that is linked to you for their profit.big thumbs down.,1,1,1,1
2,0.634374499,They just care about selling your personal info. All they care about is how much of your personal information they can gather and sell. Facebook has went way downhill since it first started I only used it mainly for selling on marketplace and business networking but now i wont even be using it for that after they removed my latest marketplace item for no reason when i have been buying and selling on marketplace for years and have a 5 star rating Facebook is worthless,1,1,1,1
3,0.629657686,Facebook is Privacy nightmare. FB will sell your soul (or data) to the devil for a few cents if they could If you read their new terms of service you would be terrified. You have no privacy for you or anything on your phone,1,1,1,1
4,0.628310919,Biased. Facebook sells your private information to third party companies. It tracks you and send those information to third party companies as well. It is selective and may remove your post with dictated nonsense reasons.,1,1,1,1
5,0.627515614,"Invasive, Avoid at all costs. Bias party and concerning privacy breaches. UPDATE: So I had this one individual contact me condescendingly about how much he doesnt like the price at which Im selling something at marketplace and then reports me, facebook without gathering any data terminates my account. Facebook has grown to be a disease to our nation and individuality. Privacy is not respected whatsoever, the most invasive site on the web next to google.Avoid facebook. Its only value was the marketplace and the ability to save game data. The measures they take to collect your information is concerning.",1,1,1,1
6,0.626541257,"Facebook. FB hides under a free social communication tool. They track us, they locate us, they algorithm our social and mental acuity - I own a marketing agency and while I need Facebook to market our clients products - I know what they are. There are so many privacy infringement violations and social travesties. They will continue to hold society hostage and thus my agency will continue to thrive sigh.",1,1,1,1
7,0.621930778,"Privacy. Facebook are made it easy to steal people privacy. It is creepy because they can spy on your websites. Moreover, they hand the info to a third and fourth parties ...etc. It is all about business and we are for sale by the company. Shame on Facebook.",1,1,1,1
8,0.618765235,"Your personal information is opened for sell. Beware, you are like a sell cow in catalog, and facebook selling all information and doesn't care you anymore",1,1,1,1
9,0.615373909,Privacy Violations. Download your data and you will learn things about you that Facebook shouldnt know.,1,1,1,1
10,0.612761319,"SS#, Birth Certificate and ID Required. I have heard if you try to change your name on FB that they need pictures of that I didnt believe it. Well my friend needed some money and I was going to send her $20 and FB told me that in order for me to send the money they needed my SS#, a picture of my birth certificate and my ID. I didnt know that a social platform needed access to these things? I, of course denied it. People have said that FB will lock you out of your account if you do not provide these things. But I think for a social platform they are asking too much. Its just suppose to be a way for us to keep connected. Not something that they need our information like that.",1,1,1,1
11,0.607975721,Do You Like Privacy?. If you like privacy you will delete you Active Facebook Account. Facebook sells personal data to malicious third party groups and other malicious groups.Dont use Facebook.,1,1,1,1
12,0.602061927,Tech support and selling your information. Tech support is horrible not to mention they allow companies to use your information. Facebook is evil on many levels but screening and filtering to their benefit is #1 priority.,1,1,1,1
13,0.593958199,Bias party and concerning privacy breaches. Avoid facebook. Its only value was the marketplace and the ability to save game data. The measures they take to collect your information is concerning.,1,1,1,1
14,0.593092978,"Facebook Uses You. There are well detailed complaints already posted about the failings of Facebook. We\'ve long been aware of the crimes and offenses of the Zuckerberg- lead company. Our hope is that their spying, stealing, and general indifference to you and us catches up with them, and that they come to realize their egregious offenses, which are perpetrated against us, freedom, and the privileges they enjoy but deprive of others, such as privacy. Bravo to those ex-Facebook employees who have spoken out against this corrupted company.",1,1,1,1
15,0.59253639,"No privacy, no rights. Facebook is a very invasive app into you privacy, it snoops into your online shopping and then bombardes you with ads. There is no freedom of speech and there is not a group for everyone, if Facebook doesnt like your thing they ban it. You have zero rights with this terrible company. DO NOT JOIN",1,1,1,1
16,0.589146495,"Bad for you. Bad for everybody. Just ask yourself: how does a company which trades in your personal, private business make so much money? Heck, just do a search and see. Social media has been bad for children, adults, entire continents. Its not hyperbolic, when you think of the number of folks using this service. And Facebook (Meta good luck with that rebranding PR), of all social media, has been the absolute worst. Users should have figured that out when Zuck laughed about people being stupid, handing over personal, private information. We left FB in 2009 (about the time they claimed copyright over every photo, video, thought, posted) and have looked on from the sidelines as the world just kinda forgot? how to be civil?  And now FB is just a great place to about into a loud echo chamber with only like-minded. Real growth there, folks. Super job shepherding humanity into the 21st century.  Do yourselves a favor: quit. Free is never free. And Facebook is just plain bad for people. It is. (Also, if our personal information is worth so much, why cant we see it? Why arent we allowed to review it? Lastly, why cant we sell it ourselves? Letting some third party in your home to steal your privacy is just stupid.)",1,1,1,1
17,0.588709712,No privacy. The problem with Facebook and all social media that your information is everywhere. They sell your information. And they also give the government your information.. its not about gather with friends. Your data is sold The same thing goes for Google . Listen to your Conversations and report back to there makers. A database is made. They can use this to incriminate you . Even if you havent done anything wrong. Youre signing your life away and you dont even know it. They are contracts you cant even read them. It would take you weeks to read . Even if you delete your account it doesnt guarantee the use doesnt guarantee you complete 100% delete of your data its sold . Dont be fooled. believing youre safe. Your address and phone number out there. Why do you think so many people your phone number. Think about before you sign,1,1,1,1
18,0.583473861,Steals your data to make money. You are their product and they make money out of you. It should not be Facebook it should be called .. you know.,1,1,1,1
19,0.578003526,"PRIVACY. What happened to yall protecting our PRIVACY?Why is there a need to know all our dang DATA?, including health and fitness, finances, contacts, browsing history, usage data, precise location, search history, purchases, diagnostics, identifiers, and other sensitive information. Do something about it, because we deserve to have a certain amount of privacy on these apps and FB is not providing it This is poor servicing",1,1,1,1
20,0.57398355,"Easy Access, Uncensored, and Unprivate. I give one star to FACEBOOK, because any knowledgeable hacker can hack your profile on this website it is NOT PRIVATE it can be easily accessed of your account your PICTURES, your IDENTITY and any messages sent via MESSENGER can be accessible on FACEBOOK so if your looking for privacy my suggestion and advice dont seek SOCIAL MEDIA.",1,1,1,1
21,0.568728387,Facebook is not a good company. Gathering info on its client base and selling this information to the highest bidder is an evil practice. Facebook is a company that takes advantage of its users and attempts to manipulate public opinion and police thought. Screw these guys,1,1,1,1
22,0.56598109,"Steals everything. Facebook just steals all your info , sells it you get nothing but spam and adds in return .",1,1,1,1
23,0.564388037,They steal too much information. Do your research in what Facebook its bias and unsafe and tracks everything you do kinda like iPhones and Google,1,1,1,1
24,0.563750744,facebook is cancer to society. Years and years of user data collection and privacy issues on a platform that caters to instigation and division.,1,1,1,1
25,0.563478172,"FCc. You are not allowed to track personal details on our accounts. I am reporting facebook and all the requests to review things that don't work.  I hide things and it doesn't work, disable doesn't work basically Facebook is old and nothing works goodbye FB done had to give a star or it wouldn't post. I would give negative 500000",1,1,1,1
26,0.563000977,No privacy. I was checking my privacy sitting and I found out that Facebook has been recording all my web browsers history( Microsoft edge and Google Chrome) be extra careful from this awful platform META,1,1,1,1
27,0.561923623,No privacy. I wouldnt download useless you want to be tracked by Facebook,1,1,1,1
28,0.559556067,Steals Information. Making Facebook required to run devices and apps owned by the user while Facebook steals private information should be illegal.,1,1,1,1
29,0.558428884,"Facebook manipulates you. Facebook preys on your emotions to get you to use their services more frequently, and for their own profit. Dont be used by anyone. Do not use their services any longer.",1,1,1,1
30,0.558305681,"Should be criminal activity. Blatantly tries to steal your user data to seek for a profit. Im not saying other websites dont do the same, but Facebook goes farther and acts more entitled than any other group/company I can think of.",1,1,1,1
31,0.556995213,"Facebook cares ;). If youre looking for a single location where companies cane mine data about who you are and what you do, and of course how you think, this is the app for you. Not only can you train an ai to recognize yours and your acquaintances faces, as well as attribute that data to your views and reluctant needs, but you can create a web of data to pigeon hole yourself into the projected personas you created, and any possible way that corporations can market yo your deepest insecurities. What do you have to lose?",1,1,1,1
32,0.55696398,Facebook selling our information. Its really bad.,1,1,1,1
33,0.556571782,FB DOES NOT WANT TO PROTECT YOUR PRIVACY. FB will do anything they can to get all information on you and sell it. They make it impossibly difficult and confusing to change your privacy settings. Its laid out that way so most people (especially the older crowd) cant figure out. Much better social media apps out there. Use something else FB is dead,1,1,1,1
